aptId,aptBath,aptNoOfRooms,aptViews,aptAddedDate,aptEditedDate,aptLat,aptLng,aptURL,aptFloor,aptStoreys,aptTotalPrice,aptPricePerSqm,aptCeilingHeight,aptArea,aptBldgType,aptCondition,aptStreet,aptDistrict,aptRegion,aptFacilities,aptAdditionalFacilities,aptNewConstruction,aptFacilities_heating,aptFacilities_centralheating,aptFacilities_irrigation,aptFacilities_gas,aptFacilities_water,aptFacilities_hotwater,aptFacilities_air-conditioner,aptFacilities_internet,aptFacilities_water24/7,aptFacilities_electricity,aptFacilities_canalization,aptFacilities_sewerage,aptAdditionalFacilities_openbalcony,aptAdditionalFacilities_laminateflooring,aptAdditionalFacilities_roadside,aptAdditionalFacilities_grating,aptAdditionalFacilities_irondoor,aptAdditionalFacilities_elevator,aptAdditionalFacilities_park,aptAdditionalFacilities_attic,aptAdditionalFacilities_closetothebusstation,aptAdditionalFacilities_heatedfloor,aptAdditionalFacilities_gate,aptAdditionalFacilities_eurowindows,aptAdditionalFacilities_gym,aptAdditionalFacilities_bilateral,aptAdditionalFacilities_sauna,aptAdditionalFacilities_view,aptAdditionalFacilities_securitysystem,aptAdditionalFacilities_heater,aptAdditionalFacilities_swimmingpool,aptAdditionalFacilities_loggia,aptAdditionalFacilities_sunny,aptAdditionalFacilities_tile,aptAdditionalFacilities_furniture,aptAdditionalFacilities_storageroom,aptAdditionalFacilities_fireplace,aptAdditionalFacilities_playground,aptAdditionalFacilities_basement,aptAdditionalFacilities_buildingexistence,aptAdditionalFacilities_equipment,aptAdditionalFacilities_parquet,aptAdditionalFacilities_highfirstfloor,aptAdditionalFacilities_parking,aptAdditionalFacilities_fence,aptAdditionalFacilities_balcony,aptAdditionalFacilities_garage
97413,1,2,469,07.05.2020,15.07.2020,40.1872023,44.515209,https://myrealty.am/en/2-bedroom/apartment-for-sale/Artashisyan+St/Shengavit/Yerevan/97413,3,4,60000,1000,2.8,60,stone,newly repaired,artashisyan st,shengavit,yerevan,"heating,internet,hotwater,sewerage,canalization,electricity,water,water24/7","furniture,equipment,eurowindows,irondoor,laminateflooring,sunny,view,roadside,closetothebusstation,parking,playground,park",0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0
94686,1,1,794,20.02.2020,15.09.2020,40.1791358,44.5184249,https://myrealty.am/en/1-bedroom/apartment-for-sale/Vardanants+St/Center/Yerevan/94686,10,10,79000,1881,3,42,panel,newly repaired,vardanants st,center,yerevan,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76961,1,2,1711,30.04.2019,01.09.2020,40.1688202,44.5204533,https://myrealty.am/en/2-bedroom/apartment-for-sale/Kajaznuni+St/Center/Yerevan/76961,7,9,59000,1553,2.8,38,panel,newly repaired,kajaznuni st,center,yerevan,"internet,hotwater,sewerage,canalization,electricity,air-conditioner,centralheating,water,water24/7","furniture,equipment,eurowindows,tile,sunny,elevator",0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
92958,1,2,870,24.01.2020,19.09.2020,40.1830977,44.510417,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Mashtots+Ave/Center/Yerevan/92958,4,12,145000,2544,3,57,monolit,newly repaired,mashtots ave,center,yerevan,"","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91815,1,2,755,10.01.2020,11.05.2020,40.1507194,44.5101468,https://myrealty.am/en/2-bedroom/apartment-for-sale/Artsakh+ave/Erebuni/Yerevan/91815,7,14,59000,868,2.8,68,panel,newly repaired,artsakh ave,erebuni,yerevan,"water24/7,electricity,hotwater,sewerage,canalization,water,gas,heating","playground,park,roadside,closetothebusstation,view,openbalcony",0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
77183,1,2,1484,04.05.2019,09.09.2020,40.1686755,44.5202593,https://myrealty.am/en/2-bedroom/apartment-for-sale/Kajaznuni+St/Center/Yerevan/77183,3,10,75000,1154,2.8,65,panel,good,kajaznuni st,center,yerevan,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49497,1,1,6203,19.12.2017,13.11.2019,40.1280185,44.5413779,https://myrealty.am/en/1-bedroom/apartment-for-sale-in-new-construction/Achemyan+street/Erebuni/Yerevan/49497,4,6,62000,1771,3,35,monolit,newly repaired,achemyan street,erebuni,yerevan,"sewerage,canalization,water,water24/7,electricity,air-conditioner,internet,hotwater,gas,heating","closetothebusstation,sunny,laminateflooring,eurowindows,storageroom,elevator,equipment,furniture",1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
93026,1,2,858,25.01.2020,10.09.2020,40.1771064,44.502793,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Mashtots+Ave/Center/Yerevan/93026,3,13,145000,2544,3,57,monolit,newly repaired,mashtots ave,center,yerevan,"water24/7,electricity,air-conditioner,internet,hotwater,gas,heating,sewerage,canalization,water","irondoor,laminateflooring,tile,eurowindows,elevator,openbalcony,equipment,furniture",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
69930,1,1,1909,24.01.2019,20.09.2020,40.2077158,44.5102803,https://myrealty.am/en/1-bedroom/apartment-for-sale/Vratsakan+St/Arabkir/Yerevan/69930,1,5,80000,1053,3,76,stone,newly repaired,vratsakan st,arabkir,yerevan,"water,water24/7,electricity,hotwater,gas,heating","",0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97162,1,1,695,30.04.2020,16.09.2020,40.1806224,44.5081781,https://myrealty.am/en/1-bedroom/apartment-for-sale-in-new-construction/Amiryan+St/Center/Yerevan/97162,6,11,510000,3696,3,138,monolit,newly repaired,amiryan st,center,yerevan,"","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93119,1,2,925,26.01.2020,13.09.2020,40.1771064,44.502793,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Mashtots+Ave/Center/Yerevan/93119,3,13,145000,2544,2.8,57,monolit,newly repaired,mashtots ave,center,yerevan,"heating,gas,hotwater,internet,air-conditioner,electricity,water24/7,water","furniture,equipment,openbalcony,elevator,storageroom,eurowindows,tile,sunny,irondoor",1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0
93847,1,2,583,07.02.2020,14.03.2020,40.1507194,44.5101468,https://myrealty.am/en/2-bedroom/apartment-for-sale/Artsakh+ave/Erebuni/Yerevan/93847,7,14,65000,1066,2.8,61,panel,newly repaired,artsakh ave,erebuni,yerevan,"heating,internet,hotwater,sewerage,canalization,electricity,air-conditioner,gas,water","furniture,equipment,irondoor,openbalcony,balcony,storageroom,tile,parquet,sunny,closetothebusstation,playground,elevator",0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0
